Time (Seconds),Power (W),Temperature_Center(deg. C),Temperature__Middle(deg. C),Temperature_Surface(deg. C)
224,6.037E-05,25.7834215649345,25.7868007285598,25.7865096788676
225,6.0369E-05,25.7805969700571,25.7908754242513,25.7865096788676
226,6.0369E-05,25.7816057539419,25.7949501199429,25.7865096788676
227,6.0369E-05,25.7820092674958,25.7929127720971,25.7865096788676
228,6.0368E-05,25.7795881861723,25.7908754242513,25.7865096788676
229,6.0369E-05,25.7816057539419,25.784763380714,25.7865096788676
230,6.0369E-05,25.7803952132801,25.7827260328683,25.7865096788676
231,6.0369E-05,25.7820092674958,25.7888380764056,25.7865096788676
232,6.0369E-05,25.781202240388,25.7908754242513,25.7865096788676
233,6.0369E-05,25.7822110242727,25.7868007285598,25.7865096788676
234,6.0369E-05,25.7818075107188,25.7908754242513,25.7865096788676
235,6.0369E-05,25.7816057539419,25.7888380764056,25.7865096788676
236,6.037E-05,25.7848338623732,25.7908754242513,25.7865096788676
237,6.0369E-05,25.781202240388,25.7908754242513,25.7865096788676
238,6.0369E-05,25.7824127810497,25.7888380764056,25.7865096788676
239,9.3058E-06,25.7900795385742,25.7929127720971,25.7865096788676
240,9.3058E-06,25.7904830521281,25.7888380764056,25.7865096788676
241,9.306E-06,25.7943164308903,25.7908754242513,25.7865096788676
242,9.3056E-06,25.7854391327041,25.7908754242513,25.7865096788676
243,9.3059E-06,25.7922988631207,25.7888380764056,25.7865096788676
244,9.3058E-06,25.7892725114663,25.7868007285598,25.7865096788676
245,9.3056E-06,25.7840268352654,25.7888380764056,25.7865096788676
246,9.3059E-06,25.7931058902286,25.7868007285598,25.7865096788676
247,9.3059E-06,25.791088322459,25.7868007285598,25.7865096788676
248,9.3061E-06,25.7965357554369,25.7806886850225,25.7865096788676
249,9.306E-06,25.7953252147751,25.784763380714,25.7865096788676
250,9.306E-06,25.7943164308903,25.7888380764056,25.7865096788676
251,9.3058E-06,25.7892725114663,25.784763380714,25.7865096788676
252,9.306E-06,25.7939129173364,25.7908754242513,25.7865096788676
254,9.3059E-06,25.7929041334516,25.7888380764056,25.7865096788676
255,9.3058E-06,25.7896760250203,25.7888380764056,25.7865096788676
256,9.3062E-06,25.7983515664295,25.7908754242513,25.7865096788676
257,9.3059E-06,25.7912900792359,25.7908754242513,25.7865096788676
258,9.3057E-06,25.7882637275815,25.7868007285598,25.7865096788676
259,9.3061E-06,25.7977462960986,25.7908754242513,25.7865096788676
260,9.3057E-06,25.7880619708046,25.7868007285598,25.7865096788676
261,9.3059E-06,25.7918953495668,25.7868007285598,25.7865096788676
262,9.3058E-06,25.7888689979124,25.7868007285598,25.7865096788676
263,9.306E-06,25.7937111605595,25.7868007285598,25.7865096788676
264,9.3056E-06,25.786044403035,25.7868007285598,25.7865096788676
265,9.3056E-06,25.7852373759272,25.7868007285598,25.7865096788676
266,9.3056E-06,25.7866496733659,25.7868007285598,25.7865096788676
267,9.3057E-06,25.7874567004737,25.7888380764056,25.7865096788676
268,9.3058E-06,25.7902812953511,25.784763380714,25.7865096788676
269,9.9554E-05,25.7795881861723,25.7908754242513,25.7865096788676
270,9.9555E-05,25.7801934565032,25.784763380714,25.7865096788676
271,9.9554E-05,25.7777723751796,25.7929127720971,25.7865096788676
272,9.9554E-05,25.7797899429492,25.7929127720971,25.7865096788676
273,9.9554E-05,25.7781758887336,25.7888380764056,25.7865096788676
274,9.9554E-05,25.7793864293953,25.7908754242513,25.7865096788676
275,9.9554E-05,25.7783776455105,25.7908754242513,25.7865096788676
276,9.9554E-05,25.7789829158414,25.7929127720971,25.7865096788676
277,9.9554E-05,25.7795881861723,25.7908754242513,25.7865096788676
278,9.9555E-05,25.7805969700571,25.7908754242513,25.7865096788676
279,9.9554E-05,25.7785794022875,25.7888380764056,25.7865096788676
280,9.9554E-05,25.7783776455105,25.7969874677887,25.7865096788676
281,9.9553E-05,25.7769653480718,25.7949501199429,25.7865096788676
282,9.9554E-05,25.7777723751796,25.7949501199429,25.7865096788676
283,9.9553E-05,25.7769653480718,25.7929127720971,25.7865096788676
284,9.9554E-05,25.7785794022875,25.7888380764056,25.7865096788676
285,9.9554E-05,25.7793864293953,25.7929127720971,25.7865096788676
286,9.9554E-05,25.7797899429492,25.7929127720971,25.7865096788676
287,9.9553E-05,25.7777723751796,25.7908754242513,25.7865096788676
288,9.9554E-05,25.7795881861723,25.7908754242513,25.7865096788676
289,9.9553E-05,25.7779741319566,25.7908754242513,25.7865096788676
290,9.9554E-05,25.7779741319566,25.7929127720971,25.7865096788676
291,9.9554E-05,25.7781758887336,25.7888380764056,25.7865096788676
292,9.9554E-05,25.7789829158414,25.7888380764056,25.7865096788676
293,9.9553E-05,25.7779741319566,25.7908754242513,25.7865096788676
294,9.9554E-05,25.7795881861723,25.7908754242513,25.7865096788676
295,9.9553E-05,25.7777723751796,25.7908754242513,25.7865096788676
296,9.9554E-05,25.7781758887336,25.7908754242513,25.7865096788676
297,9.9554E-05,25.7789829158414,25.7868007285598,25.7865096788676
298,9.9554E-05,25.7787811590644,25.7929127720971,25.7765096788676
299,1.0674E-05,25.7937111605595,25.7868007285598,25.7765096788676
300,9.3054E-06,25.7830180513806,25.7868007285598,25.7765096788676
301,9.3059E-06,25.791088322459,25.7908754242513,25.7765096788676
302,9.3059E-06,25.7925006198977,25.7888380764056,25.7765096788676
303,9.3059E-06,25.7914918360129,25.7908754242513,25.7765096788676
304,9.3057E-06,25.7866496733659,25.7888380764056,25.7765096788676
305,9.3057E-06,25.7876584572507,25.7868007285598,25.7765096788676
306,9.306E-06,25.7939129173364,25.7806886850225,25.7765096788676
307,9.3058E-06,25.7898777817972,25.7888380764056,25.7765096788676
308,9.3059E-06,25.7922988631207,25.7806886850225,25.7765096788676
309,9.3058E-06,25.7900795385742,25.7888380764056,25.7765096788676
310,9.3058E-06,25.7898777817972,25.7929127720971,25.7765096788676
311,9.306E-06,25.7947199444443,25.7868007285598,25.7765096788676
312,9.3056E-06,25.786044403035,25.784763380714,25.7765096788676
313,9.3057E-06,25.7882637275815,25.7888380764056,25.7765096788676
314,9.3059E-06,25.7912900792359,25.7908754242513,25.7765096788676
315,9.3058E-06,25.7902812953511,25.784763380714,25.7765096788676
316,9.3057E-06,25.7876584572507,25.7908754242513,25.7765096788676
317,9.3059E-06,25.7937111605595,25.7908754242513,25.7765096788676
318,9.3057E-06,25.7866496733659,25.7868007285598,25.7765096788676
319,9.306E-06,25.7955269715521,25.7888380764056,25.7765096788676
320,9.3059E-06,25.7918953495668,25.7868007285598,25.7765096788676
321,9.3058E-06,25.7900795385742,25.7868007285598,25.7765096788676
322,9.3058E-06,25.7900795385742,25.7868007285598,25.7765096788676
323,9.3059E-06,25.7918953495668,25.7888380764056,25.7765096788676
324,9.3057E-06,25.7868514301428,25.7908754242513,25.7765096788676
325,9.306E-06,25.7943164308903,25.7868007285598,25.7765096788676
327,9.306E-06,25.7933076470055,25.7868007285598,25.7765096788676
328,9.3057E-06,25.7872549436967,25.784763380714,25.7765096788676
329,0.00013674,25.7753512938561,25.7888380764056,25.7765096788676
330,0.00017474,25.7733337260865,25.7888380764056,25.7765096788676
331,0.00017474,25.7725266989787,25.7888380764056,25.7765096788676
332,0.00017474,25.7717196718708,25.7888380764056,25.7765096788676
333,0.00017474,25.7713161583169,25.7908754242513,25.7765096788676
334,0.00017474,25.77111440154,25.7908754242513,25.7765096788676
335,0.00017474,25.7735354828635,25.7868007285598,25.7765096788676
336,0.00017475,25.7749477803022,25.7888380764056,25.7765096788676
337,0.00017474,25.7731319693096,25.7908754242513,25.7765096788676
338,0.00017474,25.7725266989787,25.7908754242513,25.7765096788676
339,0.00017474,25.7735354828635,25.7888380764056,25.7765096788676
340,0.00017474,25.7719214286478,25.7908754242513,25.7765096788676
341,0.00017474,25.7737372396404,25.7929127720971,25.7765096788676
342,0.00017475,25.7745442667483,25.7868007285598,25.7765096788676
343,0.00017475,25.7749477803022,25.7908754242513,25.7765096788676
344,0.00017474,25.7741407531944,25.7908754242513,25.7765096788676
345,0.00017474,25.7741407531944,25.7908754242513,25.7765096788676
346,0.00017474,25.7719214286478,25.7908754242513,25.7765096788676
347,0.00017474,25.7737372396404,25.7888380764056,25.7765096788676
348,0.00017474,25.7753512938561,25.7929127720971,25.7765096788676
349,0.00017474,25.7751495370792,25.7888380764056,25.7765096788676
350,0.00017475,25.77575480741,25.784763380714,25.7765096788676
351,0.00017474,25.7733337260865,25.7929127720971,25.7765096788676
352,0.00017474,25.7733337260865,25.7908754242513,25.7765096788676
353,0.00017474,25.7725266989787,25.7868007285598,25.7765096788676
354,0.00017474,25.7737372396404,25.7969874677887,25.7765096788676
355,0.00017475,25.7751495370792,25.7868007285598,25.7765096788676
356,0.00017474,25.7735354828635,25.7908754242513,25.7765096788676
357,0.00017474,25.7723249422017,25.7949501199429,25.7765096788676
358,0.00017474,25.7725266989787,25.7929127720971,25.7765096788676
359,3.3375E-05,25.785842646258,25.7908754242513,25.7765096788676
360,9.3059E-06,25.7925006198977,25.7929127720971,25.7765096788676
361,9.3056E-06,25.7850356191502,25.7929127720971,25.7765096788676
362,9.3056E-06,25.7864479165889,25.7827260328683,25.7765096788676
363,9.3061E-06,25.796132241883,25.7888380764056,25.7765096788676
364,9.3061E-06,25.7965357554369,25.7868007285598,25.7765096788676
365,9.3057E-06,25.7880619708046,25.7908754242513,25.7765096788676
366,9.306E-06,25.7949217012212,25.784763380714,25.7765096788676
367,9.3057E-06,25.7886672411355,25.784763380714,25.7765096788676
368,9.3056E-06,25.7854391327041,25.7868007285598,25.7765096788676
369,9.3058E-06,25.7894742682433,25.784763380714,25.7765096788676
370,9.3058E-06,25.7906848089051,25.7888380764056,25.7765096788676
371,9.3059E-06,25.7925006198977,25.784763380714,25.7765096788676
372,9.306E-06,25.7935094037825,25.784763380714,25.7765096788676
373,9.3059E-06,25.7929041334516,25.7908754242513,25.7765096788676
374,9.3056E-06,25.7864479165889,25.7868007285598,25.7765096788676
375,9.3058E-06,25.7912900792359,25.784763380714,25.7765096788676
376,9.3058E-06,25.7900795385742,25.7806886850225,25.7765096788676
377,9.3058E-06,25.7900795385742,25.7888380764056,25.7765096788676
378,9.3058E-06,25.7892725114663,25.784763380714,25.7765096788676
379,9.3058E-06,25.7902812953511,25.7888380764056,25.7765096788676
380,9.3054E-06,25.780798726834,25.7888380764056,25.7765096788676
381,9.3058E-06,25.7894742682433,25.7888380764056,25.7765096788676
382,9.3058E-06,25.7902812953511,25.7827260328683,25.7765096788676
383,9.306E-06,25.7941146741134,25.784763380714,25.7765096788676
384,9.3059E-06,25.7935094037825,25.7868007285598,25.7765096788676
385,9.3058E-06,25.7920971063438,25.7868007285598,25.7765096788676
386,9.3058E-06,25.7894742682433,25.784763380714,25.7765096788676
387,9.3057E-06,25.7876584572507,25.7868007285598,25.7765096788676
388,9.3056E-06,25.785842646258,25.784763380714,25.7765096788676
389,0.00014959,25.7870531869198,25.7868007285598,25.7765096788676
390,0.0003232,25.7866496733659,25.7929127720971,25.7765096788676
391,0.0003232,25.7880619708046,25.7908754242513,25.7765096788676
392,0.0003232,25.7884654843585,25.7929127720971,25.7765096788676
393,0.0003232,25.7892725114663,25.7868007285598,25.7765096788676
394,0.00032321,25.7906848089051,25.7929127720971,25.7765096788676
395,0.0003232,25.7894742682433,25.7929127720971,25.7765096788676
396,0.0003232,25.7898777817972,25.7929127720971,25.7765096788676
397,0.0003232,25.7896760250203,25.7929127720971,25.7765096788676
399,0.00032321,25.7898777817972,25.7908754242513,25.7765096788676
400,0.00032321,25.7912900792359,25.7949501199429,25.7765096788676
401,0.00032321,25.7914918360129,25.7929127720971,25.7765096788676
402,0.00032321,25.7904830521281,25.7888380764056,25.7765096788676
403,0.0003232,25.7896760250203,25.7949501199429,25.7765096788676
404,0.00032321,25.7900795385742,25.7949501199429,25.7765096788676
405,0.00032321,25.7916935927898,25.7929127720971,25.7765096788676
406,0.00032321,25.7920971063438,25.7908754242513,25.7765096788676
407,0.00032321,25.7912900792359,25.7908754242513,25.7765096788676
408,0.00032321,25.7916935927898,25.7888380764056,25.7765096788676
409,0.00032321,25.7902812953511,25.7888380764056,25.7765096788676
410,0.00032321,25.7904830521281,25.7929127720971,25.7765096788676
411,0.0003232,25.7892725114663,25.7908754242513,25.7765096788676
412,0.00032321,25.7918953495668,25.7949501199429,25.7765096788676
413,0.00032321,25.7922988631207,25.7908754242513,25.7765096788676
414,0.00032321,25.7912900792359,25.7868007285598,25.7765096788676
415,0.00032321,25.790886565682,25.7949501199429,25.7765096788676
416,0.00032321,25.7914918360129,25.7929127720971,25.7765096788676
417,0.00032321,25.790886565682,25.7908754242513,25.7765096788676
